Age-0 Striped Bass

Year	Sept	Oct	Nov	Dec	Total
1967	11941	3681	1789	2266	19677
1968	1633	1160	602	324	3719
1969	3894	1548	1393	1237	8072
1970	2277	1817	2750	1432	8276
1971	3992	1837	1351	2295	9475
1972	3160	974	1377	605	6116
1973	1516	441	1005	1324	4286
1974					
1975	1772	681	1284	811	4548
1976	239	117	243	821	1420
1977	307	204	180	192	883
1978	1115	561	336	586	2598
1979					
1980	739	384	102	268	1493
1981	583	916	1037	1995	4531
1982	1476	938	939	1113	4466
1983	1934	1994	5272	3273	12473
1984	1287	2666	1374	1254	6581
1985	125	825	58	752	1760
1986	2706	532	508	197	3943
1987	603	169	206	372	1350
1988	106	98	129	144	477
1989	154	152	76	60	442
1990	234	235	397	454	1320
1991	262	128	115	439	944
1992	620	246	544	632	2042
1993	508	513	281	254	1556
1994	206	188	206	659	1259
1995	116	131	141	90	478
1996	71	46	32	243	392
1997	287	143	69	69	568
1998	234	290	126	574	1224
1999	154	68	134	185	541
2000	93	154	90	51	388
2001	181	217	114	219	731
2002	18	20	15	20	73
2003	34	34	25	18	111
2004	16	17	6	15	54
2005	40	29	26	26	121
2006	236	18	39	70	363
2007	32	34	14	2	82
2008	57	39	85	39	220
2009	9	23	14	24	70
2010	16	5	11	11	43
2011	112	62	30	68	272
2012	20	16	14	75	125
2013	18	5	13	34	70
2014	8	2	4	45	59
2015	4	8	11	29	52
2016	43	4	5	72	124
2017	43	118	146	163	470
2018	4	16	9	13	42
2019	84				
Delta Smelt (all ages)

Year	Sept	Oct	Nov	Dec	Total
1967	94	157	31	126	408
1968	235	252	123	86	696
1969	148	78	55	32	313
1970	742	342	82	507	1673
1971	197	471	428	207	1303
1972	572	470	81	142	1265
1973	308	312	198	327	1145
1974					
1975	290	214	102	91	697
1976	69	42	121	127	359
1977	98	242	52	88	480
1978	167	65	31	309	572
1979					
1980	370	274	587	423	1654
1981	132	27	54	161	374
1982	45	47	79	162	333
1983	2	28	78	24	132
1984	47	44	67	24	182
1985	41	24	28	17	110
1986	92	15	34	71	212
1987	71	40	69	100	280
1988	58	67	19	30	174
1989	88	75	158	45	366
1990	109	50	188	17	364
1991	126	249	279	35	689
1992	72	3	57	24	156
1993	375	470	94	139	1078
1994	65	12	7	18	102
1995	120	349	352	78	899
1996	19	23	13	72	127
1997	15	109	71	108	303
1998	238	97	15	70	420
1999	198	380	114	172	864
2000	430	128	56	142	756
2001	75	481	17	30	603
2002	20	46	29	44	139
2003	15	136	17	42	210
2004	26	18	23	7	74
2005	3	9	7	7	26
2006	33	3	4	1	41
2007	9	4	5	10	28
2008	2	5	12	4	23
2009	1	3	3	10	17
2010	6	12	0	11	29
2011	50	54	23	216	343
2012	0	23	12	7	42
2013	4	3	2	9	18
2014	4	4	0	1	9
2015	5	0	0	2	7
2016	0	0	8	0	8
2017	0	2	0	0	2
2018	0	0	0	0	0
2019	0				
Longfin Smelt (all ages)

Year	Sept	Oct	Nov	Dec	Total
1967	15484	49992	7480	8781	81737
1968	1408	771	446	654	3279
1969	35797	9845	7851	5857	59350
1970	889	410	1056	4160	6515
1971	2388	5722	5019	2774	15903
1972	138	118	106	398	760
1973	2794	1237	808	1057	5896
1974					
1975	318	598	1198	705	2819
1976	15	12	90	541	658
1977	29	17	83	81	210
1978	1744	1173	1450	2252	6619
1979					
